industry,country,date,keyword,cpc_usd,cpc_euro,searches,exchange_rate,final_cpc_usd,sea_expend_per_cap_usd,unemployment_rate,broadb_subscr_per_100_inhab,date_new,today,price_effect,quantity_effect,half_year,id,industry_date_country_id,price_effect_new,quantity_effect_new,retail,structural_break,country_1,country_2,country_3,country_4,country_5,country_6,apr,industry_new,industry_new_1,industry_new_2,industry_new_3,industry_new_4,industry_new_5,industry_new_6,industry_new_7,industry_new_8,industry_new_9,industry_new_10,industry_new_11,industry_new_12,industry_new_13,industry_new_14,industry_new_15,mean_searches,mean_searches_tenth,industry_time,country_time,mean_industry,mean_country
health,ITA,04/09,contraception,0.07,,14800,,0.07,15.03,7.808,20.05,18016,19303,0.4655218,0.5344782,1,57,361,,,1,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20880,2.088,57,25,1.231,1.201467
health,GBR,04/09,contraception,1.23,,33100,,1.23,65.28,7.451,30.84,18016,19303,0.7909242,0.2090758,1,57,369,0.790924,0.209076,1,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44580,4.458,57,33,1.231,3.247067
health,GBR,04/09,diet,1.66,,60500,,1.66,65.28,7.451,30.84,18016,19303,0.7909242,0.2090758,1,57,369,,,1,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44580,4.458,57,33,1.231,3.247067
health,GBR,04/09,medicine,1.44,,74000,,1.44,65.28,7.451,30.84,18016,19303,0.7909242,0.2090758,1,57,369,,,1,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44580,4.458,57,33,1.231,3.247067
health,GBR,04/09,migraine,2.35,,33100,,2.35,65.28,7.451,30.84,18016,19303,0.7909242,0.2090758,1,57,369,,,1,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44580,4.458,57,33,1.231,3.247067
health,GBR,04/09,online pharmacy,1.81,,22200,,1.81,65.28,7.451,30.84,18016,19303,0.7909242,0.2090758,1,57,369,,,1,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44580,4.458,57,33,1.231,3.247067
health,USA,04/09,diet,1.65,,201000,,1.65,49.14,9.625,26.66,18016,19303,0.7401009,0.2598991,1,57,377,0.740101,0.259899,1,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,105500,10.55,57,41,1.231,3.446267
health,USA,04/09,migraine,2.3,,60500,,2.3,49.14,9.625,26.66,18016,19303,0.7401009,0.2598991,1,57,377,,,1,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,105500,10.55,57,41,1.231,3.446267
health,USA,04/09,online pharmacy,1.94,,135000,,1.94,49.14,9.625,26.66,18016,19303,0.7401009,0.2598991,1,57,377,,,1,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,105500,10.55,57,41,1.231,3.446267
health,USA,04/09,medicine,1.62,,90500,,1.62,49.14,9.625,26.66,18016,19303,0.7401009,0.2598991,1,57,377,,,1,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,105500,10.55,57,41,1.231,3.446267
health,USA,04/09,contraception,1.52,,40500,,1.52,49.14,9.625,26.66,18016,19303,0.7401009,0.2598991,1,57,377,,,1,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,105500,10.55,57,41,1.231,3.446267
telecommunications,DEU,04/09,broadband,2.94,,550000,,2.94,31.46,7.742,30.21,18016,19303,0.7797407,0.2202593,1,105,625,0.779741,0.220259,0,0,1,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,178140,17.814,105,1,2.662667,2.066533
telecommunications,DEU,04/09,mobile phone contracts,2.11,,27100,,2.11,31.46,7.742,30.21,18016,19303,0.7797407,0.2202593,1,105,625,,,0,0,1,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,178140,17.814,105,1,2.662667,2.066533
telecommunications,DEU,04/09,broadband providers,4.19,,27100,,4.19,31.46,7.742,30.21,18016,19303,0.7797407,0.2202593,1,105,625,,,0,0,1,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,178140,17.814,105,1,2.662667,2.066533
telecommunications,DEU,04/09,mobile broadband,2.56,,40500,,2.56,31.46,7.742,30.21,18016,19303,0.7797407,0.2202593,1,105,625,,,0,0,1,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,178140,17.814,105,1,2.662667,2.066533
telecommunications,DEU,04/09,phones,0.67,,246000,,0.67,31.46,7.742,30.21,18016,19303,0.7797407,0.2202593,1,105,625,,,0,0,1,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,178140,17.814,105,1,2.662667,2.066533
telecommunications,ESP,04/09,broadband,1.1,,135000,,1.1,17.36,18,21.27,18016,19303,0.6614153,0.3385847,1,105,633,0.661415,0.338585,0,0,0,1,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44800,4.48,105,9,2.662667,1.057333
telecommunications,ESP,04/09,mobile broadband,1.6,,14800,,1.6,17.36,18,21.27,18016,19303,0.6614153,0.3385847,1,105,633,,,0,0,0,1,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44800,4.48,105,9,2.662667,1.057333
telecommunications,ESP,04/09,mobile phone contracts,0.81,,6600,,0.81,17.36,18,21.27,18016,19303,0.6614153,0.3385847,1,105,633,,,0,0,0,1,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44800,4.48,105,9,2.662667,1.057333
telecommunications,ESP,04/09,broadband providers,2.85,,18100,,2.85,17.36,18,21.27,18016,19303,0.6614153,0.3385847,1,105,633,,,0,0,0,1,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44800,4.48,105,9,2.662667,1.057333
telecommunications,ESP,04/09,phones,0.58,,49500,,0.58,17.36,18,21.27,18016,19303,0.6614153,0.3385847,1,105,633,,,0,0,0,1,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44800,4.48,105,9,2.662667,1.057333
telecommunications,FRA,04/09,broadband,1.08,,74000,,1.08,17.32,9.517,31.79,18016,19303,0.6608985,0.3391015,1,105,641,0.660899,0.339102,0,0,0,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30360,3.036,105,17,2.662667,1.361333
telecommunications,FRA,04/09,mobile phone contracts,2.35,,14800,,2.35,17.32,9.517,31.79,18016,19303,0.6608985,0.3391015,1,105,641,,,0,0,0,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30360,3.036,105,17,2.662667,1.361333
telecommunications,FRA,04/09,broadband providers,2.49,,9900,,2.49,17.32,9.517,31.79,18016,19303,0.6608985,0.3391015,1,105,641,,,0,0,0,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30360,3.036,105,17,2.662667,1.361333
telecommunications,FRA,04/09,mobile broadband,2.91,,3600,,2.91,17.32,9.517,31.79,18016,19303,0.6608985,0.3391015,1,105,641,,,0,0,0,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30360,3.036,105,17,2.662667,1.361333
telecommunications,FRA,04/09,phones,1.04,,49500,,1.04,17.32,9.517,31.79,18016,19303,0.6608985,0.3391015,1,105,641,,,0,0,0,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30360,3.036,105,17,2.662667,1.361333
telecommunications,ITA,04/09,broadband,1.08,,301000,,1.08,15.03,7.808,20.05,18016,19303,0.6284299,0.3715701,1,105,649,0.62843,0.37157,0,0,0,0,0,1,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,239120,23.912,105,25,2.662667,1.201467
telecommunications,ITA,04/09,mobile broadband,2.91,,5400,,2.91,15.03,7.808,20.05,18016,19303,0.6284299,0.3715701,1,105,649,,,0,0,0,0,0,1,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,239120,23.912,105,25,2.662667,1.201467
telecommunications,ITA,04/09,broadband providers,2.4,,33100,,2.4,15.03,7.808,20.05,18016,19303,0.6284299,0.3715701,1,105,649,,,0,0,0,0,0,1,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,239120,23.912,105,25,2.662667,1.201467
telecommunications,ITA,04/09,mobile phone contracts,0.75,,823000,,0.75,15.03,7.808,20.05,18016,19303,0.6284299,0.3715701,1,105,649,,,0,0,0,0,0,1,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,239120,23.912,105,25,2.662667,1.201467
telecommunications,ITA,04/09,phones,0.58,,33100,,0.58,15.03,7.808,20.05,18016,19303,0.6284299,0.3715701,1,105,649,,,0,0,0,0,0,1,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,239120,23.912,105,25,2.662667,1.201467
telecommunications,GBR,04/09,broadband,5.11,,246000,,5.11,65.28,7.451,30.84,18016,19303,0.8801788,0.1198212,1,105,657,0.880179,0.119821,0,0,0,0,0,0,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109580,10.958,105,33,2.662667,3.247067
telecommunications,GBR,04/09,broadband providers,4.86,,14800,,4.86,65.28,7.451,30.84,18016,19303,0.8801788,0.1198212,1,105,657,,,0,0,0,0,0,0,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109580,10.958,105,33,2.662667,3.247067
telecommunications,GBR,04/09,mobile broadband,4.46,,110000,,4.46,65.28,7.451,30.84,18016,19303,0.8801788,0.1198212,1,105,657,,,0,0,0,0,0,0,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109580,10.958,105,33,2.662667,3.247067
telecommunications,GBR,04/09,mobile phone contracts,6.24,,12100,,6.24,65.28,7.451,30.84,18016,19303,0.8801788,0.1198212,1,105,657,,,0,0,0,0,0,0,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109580,10.958,105,33,2.662667,3.247067
telecommunications,GBR,04/09,phones,2.66,,165000,,2.66,65.28,7.451,30.84,18016,19303,0.8801788,0.1198212,1,105,657,,,0,0,0,0,0,0,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109580,10.958,105,33,2.662667,3.247067
telecommunications,USA,04/09,broadband,4.92,,368000,,4.92,49.14,9.625,26.66,18016,19303,0.8468508,0.1531492,1,105,665,0.846851,0.153149,0,0,0,0,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,145140,14.514,105,41,2.662667,3.446267
telecommunications,USA,04/09,mobile phone contracts,3.94,,33100,,3.94,49.14,9.625,26.66,18016,19303,0.8468508,0.1531492,1,105,665,,,0,0,0,0,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,145140,14.514,105,41,2.662667,3.446267
telecommunications,USA,04/09,broadband providers,3.57,,60500,,3.57,49.14,9.625,26.66,18016,19303,0.8468508,0.1531492,1,105,665,,,0,0,0,0,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,145140,14.514,105,41,2.662667,3.446267
telecommunications,USA,04/09,mobile broadband,4.52,,18100,,4.52,49.14,9.625,26.66,18016,19303,0.8468508,0.1531492,1,105,665,,,0,0,0,0,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,145140,14.514,105,41,2.662667,3.446267
telecommunications,USA,04/09,phones,2.6,,246000,,2.6,49.14,9.625,26.66,18016,19303,0.8468508,0.1531492,1,105,665,,,0,0,0,0,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,145140,14.514,105,41,2.662667,3.446267
travel,DEU,04/09,flights,1.55,,368000,,1.55,31.46,7.742,30.21,18016,19303,0.5033909,0.4966091,1,113,673,0.503391,0.496609,0,0,1,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,438600,43.86,113,1,1.643333,2.066533
travel,DEU,04/09,hotels,2.45,,1000000,,2.45,31.46,7.742,30.21,18016,19303,0.5033909,0.4966091,1,113,673,,,0,0,1,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,438600,43.86,113,1,1.643333,2.066533
travel,DEU,04/09,cruises,1.8,,74000,,1.8,31.46,7.742,30.21,18016,19303,0.5033909,0.4966091,1,113,673,,,0,0,1,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,438600,43.86,113,1,1.643333,2.066533
travel,DEU,04/09,last minute,2.11,,301000,,2.11,31.46,7.742,30.21,18016,19303,0.5033909,0.4966091,1,113,673,,,0,0,1,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,438600,43.86,113,1,1.643333,2.066533
travel,DEU,04/09,travel,1.57,,450000,,1.57,31.46,7.742,30.21,18016,19303,0.5033909,0.4966091,1,113,673,,,0,0,1,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,438600,43.86,113,1,1.643333,2.066533
travel,ESP,04/09,cruises,0.58,,74000,,0.58,17.36,18,21.27,18016,19303,0.3587061,0.6412939,1,113,681,0.358706,0.641294,0,0,0,1,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,390200,39.02,113,9,1.643333,1.057333
travel,ESP,04/09,hotels,0.98,,823000,,0.98,17.36,18,21.27,18016,19303,0.3587061,0.6412939,1,113,681,,,0,0,0,1,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,390200,39.02,113,9,1.643333,1.057333
travel,ESP,04/09,last minute,2.03,,135000,,2.03,17.36,18,21.27,18016,19303,0.3587061,0.6412939,1,113,681,,,0,0,0,1,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,390200,39.02,113,9,1.643333,1.057333
travel,ESP,04/09,travel,0.68,,246000,,0.68,17.36,18,21.27,18016,19303,0.3587061,0.6412939,1,113,681,,,0,0,0,1,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,390200,39.02,113,9,1.643333,1.057333
travel,ESP,04/09,flights,1.24,,673000,,1.24,17.36,18,21.27,18016,19303,0.3587061,0.6412939,1,113,681,,,0,0,0,1,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,390200,39.02,113,9,1.643333,1.057333
travel,FRA,04/09,cruises,1.37,,49500,,1.37,17.32,9.517,31.79,18016,19303,0.3581756,0.6418244,1,113,689,0.358176,0.641824,0,0,0,0,1,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140420,14.042,113,17,1.643333,1.361333
travel,FRA,04/09,hotels,1.47,,18100,,1.47,17.32,9.517,31.79,18016,19303,0.3581756,0.6418244,1,113,689,,,0,0,0,0,1,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140420,14.042,113,17,1.643333,1.361333
travel,FRA,04/09,last minute,2.03,,450000,,2.03,17.32,9.517,31.79,18016,19303,0.3581756,0.6418244,1,113,689,,,0,0,0,0,1,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140420,14.042,113,17,1.643333,1.361333
travel,FRA,04/09,flights,0.93,,49500,,0.93,17.32,9.517,31.79,18016,19303,0.3581756,0.6418244,1,113,689,,,0,0,0,0,1,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140420,14.042,113,17,1.643333,1.361333
travel,FRA,04/09,travel,0.95,,135000,,0.95,17.32,9.517,31.79,18016,19303,0.3581756,0.6418244,1,113,689,,,0,0,0,0,1,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140420,14.042,113,17,1.643333,1.361333
travel,ITA,04/09,hotels,1.36,,90500,,1.36,15.03,7.808,20.05,18016,19303,0.3262698,0.6737301,1,113,697,0.32627,0.67373,0,0,0,0,0,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83400,8.34,113,25,1.643333,1.201467
travel,ITA,04/09,cruises,0.9,,60500,,0.9,15.03,7.808,20.05,18016,19303,0.3262698,0.6737301,1,113,697,,,0,0,0,0,0,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83400,8.34,113,25,1.643333,1.201467
travel,ITA,04/09,travel,0.57,,90500,,0.57,15.03,7.808,20.05,18016,19303,0.3262698,0.6737301,1,113,697,,,0,0,0,0,0,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83400,8.34,113,25,1.643333,1.201467
travel,ITA,04/09,last minute,0.77,,40500,,0.77,15.03,7.808,20.05,18016,19303,0.3262698,0.6737301,1,113,697,,,0,0,0,0,0,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83400,8.34,113,25,1.643333,1.201467
travel,ITA,04/09,flights,1.31,,135000,,1.31,15.03,7.808,20.05,18016,19303,0.3262698,0.6737301,1,113,697,,,0,0,0,0,0,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83400,8.34,113,25,1.643333,1.201467
travel,GBR,04/09,cruises,3.21,,110000,,3.21,65.28,7.451,30.84,18016,19303,0.6777679,0.3222321,1,113,705,0.677768,0.322232,0,0,0,0,0,0,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419400,41.94,113,33,1.643333,3.247067
travel,GBR,04/09,flights,1.68,,368000,,1.68,65.28,7.451,30.84,18016,19303,0.6777679,0.3222321,1,113,705,,,0,0,0,0,0,0,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419400,41.94,113,33,1.643333,3.247067
travel,GBR,04/09,hotels,2.42,,823000,,2.42,65.28,7.451,30.84,18016,19303,0.6777679,0.3222321,1,113,705,,,0,0,0,0,0,0,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419400,41.94,113,33,1.643333,3.247067
travel,GBR,04/09,last minute,2.09,,550000,,2.09,65.28,7.451,30.84,18016,19303,0.6777679,0.3222321,1,113,705,,,0,0,0,0,0,0,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419400,41.94,113,33,1.643333,3.247067
travel,GBR,04/09,travel,1.93,,246000,,1.93,65.28,7.451,30.84,18016,19303,0.6777679,0.3222321,1,113,705,,,0,0,0,0,0,0,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419400,41.94,113,33,1.643333,3.247067
travel,USA,04/09,cruises,3.21,,450000,,3.21,49.14,9.625,26.66,18016,19303,0.6129004,0.3870996,1,113,713,0.6129,0.3871,0,0,0,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2294000,229.4,113,41,1.643333,3.446267
travel,USA,04/09,flights,1.68,,550000,,1.68,49.14,9.625,26.66,18016,19303,0.6129004,0.3870996,1,113,713,,,0,0,0,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2294000,229.4,113,41,1.643333,3.446267
travel,USA,04/09,hotels,2.47,,9140000,,2.47,49.14,9.625,26.66,18016,19303,0.6129004,0.3870996,1,113,713,,,0,0,0,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2294000,229.4,113,41,1.643333,3.446267
travel,USA,04/09,last minute,2.03,,110000,,2.03,49.14,9.625,26.66,18016,19303,0.6129004,0.3870996,1,113,713,,,0,0,0,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2294000,229.4,113,41,1.643333,3.446267
travel,USA,04/09,travel,1.93,,1220000,,1.93,49.14,9.625,26.66,18016,19303,0.6129004,0.3870996,1,113,713,,,0,0,0,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2294000,229.4,113,41,1.643333,3.446267
advertising,DEU,04/09,merchandise,1.01,,9900,,1.01,31.46,7.742,30.21,18017,19303,0.5834406,0.4165594,1,1,1,0.583441,0.416559,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24580,2.458,1,1,2.177,2.066533
advertising,DEU,04/09,online advertising,2.66,,5400,,2.66,31.46,7.742,30.21,18017,19303,0.5834406,0.4165594,1,1,1,,,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24580,2.458,1,1,2.177,2.066533
advertising,DEU,04/09,tv ads,1.11,,6600,,1.11,31.46,7.742,30.21,18017,19303,0.5834406,0.4165594,1,1,1,,,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24580,2.458,1,1,2.177,2.066533
advertising,DEU,04/09,advertising agencies,1.25,,40500,,1.25,31.46,7.742,30.21,18017,19303,0.5834406,0.4165594,1,1,1,,,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24580,2.458,1,1,2.177,2.066533
advertising,DEU,04/09,promotional gifts,2.47,,60500,,2.47,31.46,7.742,30.21,18017,19303,0.5834406,0.4165594,1,1,1,,,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24580,2.458,1,1,2.177,2.066533
advertising,ESP,04/09,advertising agencies,1.29,,3600,,1.29,17.36,18,21.27,18017,19303,0.4359452,0.5640547,1,1,9,0.435945,0.564055,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31720,3.172,1,9,2.177,1.057333
